minuto,requisicoes,r200,r400,tempo
2020-09-01 01:50:56,23,20,3,460
2020-09-01 01:51:56,232,180,52,4640
2020-09-01 01:52:56,87,50,37,1740
2020-09-01 01:53:56,656,640,15,13110
2020-09-01 01:54:56,345,300,45,6900
2020-09-01 01:55:56,665,643,5,13130
2020-09-01 01:56:56,675,665,10,13500
2020-09-01 01:57:56,65,64,1,1300
2020-09-01 01:58:55,676,673,3,13520
2020-09-01 01:59:55,127,120,7,2540
2020-09-01 02:00:55,234,123,99,4560
2020-09-01 02:01:55,54,30,12,960
2020-09-01 02:02:55,23,10,13,460
2020-09-01 02:03:55,345,280,55,6800
2020-09-01 02:04:55,67,44,12,1230
2020-09-01 02:05:55,45,33,12,900
2020-09-01 02:06:55,78,60,18,1560
2020-09-01 02:07:55,56,33,4,930
2020-09-01 02:08:55,456,326,128,9100
2020-09-01 02:09:55,78,33,32,1430
2020-09-01 02:10:55,345,222,111,6780
2020-09-01 02:11:55,344,300,44,6880
2020-09-01 02:12:55,365,281,64,7100
2020-09-01 02:13:55,456,380,70,9060
2020-09-01 02:14:55,78,44,30,1520
2020-09-01 02:15:55,56,12,40,1080
2020-09-01 02:16:55,489,234,222,9450
2020-09-01 02:17:55,456,269,132,8570
2020-09-01 02:18:55,78,45,33,1560
2020-09-01 02:19:55,453,440,12,9050
2020-09-01 02:20:55,123,98,12,2330
2020-09-01 02:21:55,87,60,27,1740
2020-09-01 02:22:55,453,343,62,8580
2020-09-01 02:23:55,88,12,2,1020
2020-09-01 02:24:54,322,224,34,5800
2020-09-01 02:25:54,87,44,12,1430
2020-09-01 02:26:54,345,340,12,6970
2020-09-01 02:27:54,435,320,115,8700
2020-09-01 02:28:54,153,100,50,3030
2020-09-01 02:29:54,321,320,1,6420
2020-09-01 02:30:54,343,343,0,6860
2020-09-01 02:31:54,88,80,8,1760
2020-09-01 02:32:54,634,555,32,12210
2020-09-01 02:33:54,45,40,5,900
2020-09-01 02:34:54,454,444,1,8990
2020-09-01 02:35:54,42,41,1,840
2020-09-01 02:36:54,88,80,8,1760
2020-09-01 02:37:54,78,65,13,1560
2020-09-01 02:38:54,578,478,100,11560
2020-09-01 02:39:54,123,100,23,2460
2020-09-01 02:40:54,88,78,10,1760
2020-09-01 02:41:54,456,400,56,9120
2020-09-01 02:42:54,78,70,8,1560
2020-09-01 02:43:54,56,55,1,1120
2020-09-01 02:44:54,99,90,9,1980
2020-09-01 02:45:54,456,444,12,9120
2020-09-01 02:46:54,6,0,6,120
2020-09-01 02:47:54,233,200,33,4660
2020-09-01 02:48:54,665,555,110,13300
2020-09-01 02:49:54,234,134,100,4680
2020-09-01 02:50:53,23,20,3,460
2020-09-01 02:51:53,232,180,52,4640
2020-09-01 02:52:53,87,50,37,1740
2020-09-01 02:53:53,656,640,15,13110
2020-09-01 02:54:53,345,300,45,6900
2020-09-01 02:55:53,665,643,5,13130
2020-09-01 02:56:53,675,665,10,13500
2020-09-01 02:57:53,65,64,1,1300
2020-09-01 02:58:53,676,673,3,13520
2020-09-01 02:59:53,127,120,7,2540
2020-09-01 03:00:53,234,123,99,4560
2020-09-01 03:01:53,54,30,12,960
2020-09-01 03:02:53,23,10,13,460
2020-09-01 03:03:53,345,280,55,6800
2020-09-01 03:04:53,67,44,12,1230
2020-09-01 03:05:53,45,33,12,900
2020-09-01 03:06:53,78,60,18,1560
2020-09-01 03:07:53,56,33,4,930
2020-09-01 03:08:53,456,326,128,9100
2020-09-01 03:09:53,78,33,32,1430
2020-09-01 03:10:53,345,222,111,6780
2020-09-01 03:11:53,344,300,44,6880
2020-09-01 03:12:53,365,281,64,7100
2020-09-01 03:13:53,456,380,70,9060
2020-09-01 03:14:53,78,44,30,1520
2020-09-01 03:15:53,56,12,40,1080
2020-09-01 03:16:52,489,234,222,9450
2020-09-01 03:17:52,456,269,132,8570
2020-09-01 03:18:52,78,45,33,1560
2020-09-01 03:19:52,453,440,12,9050
2020-09-01 03:20:52,123,98,12,2330
2020-09-01 03:21:52,87,60,27,1740
2020-09-01 03:22:52,453,343,62,8580
2020-09-01 03:23:52,88,12,2,1020
2020-09-01 03:24:52,322,224,34,5800
2020-09-01 03:25:52,87,44,12,1430
2020-09-01 03:26:52,345,340,12,6970
2020-09-01 03:27:52,435,320,115,8700
2020-09-01 03:28:52,153,100,50,3030
2020-09-01 03:29:52,321,320,1,6420
2020-09-01 03:30:52,343,343,0,6860
2020-09-01 03:31:52,88,80,8,1760
2020-09-01 03:32:52,634,555,32,12210
2020-09-01 03:33:52,45,40,5,900
2020-09-01 03:34:52,454,444,1,8990
2020-09-01 03:35:52,42,41,1,840
2020-09-01 03:36:52,88,80,8,1760
2020-09-01 03:37:52,78,65,13,1560
2020-09-01 03:38:52,578,478,100,11560
2020-09-01 03:39:52,123,100,23,2460
2020-09-01 03:40:52,88,78,10,1760
2020-09-01 03:41:52,456,400,56,9120
2020-09-01 03:42:51,78,70,8,1560
2020-09-01 03:43:51,56,55,1,1120
2020-09-01 03:44:51,99,90,9,1980
2020-09-01 03:45:51,456,444,12,9120
2020-09-01 03:46:51,6,0,6,120
2020-09-01 03:47:51,233,200,33,4660
2020-09-01 03:48:51,665,555,110,13300
2020-09-01 03:49:51,234,134,100,4680
2020-09-01 03:50:51,23,20,3,460
2020-09-01 03:51:51,232,180,52,4640
2020-09-01 03:52:51,87,50,37,1740
2020-09-01 03:53:51,656,640,15,13110
2020-09-01 03:54:51,345,300,45,6900
2020-09-01 03:55:51,665,643,5,13130
2020-09-01 03:56:51,675,665,10,13500
2020-09-01 03:57:51,65,64,1,1300
2020-09-01 03:58:51,676,673,3,13520
2020-09-01 03:59:51,127,120,7,2540
2020-09-01 04:00:51,234,123,99,4560
2020-09-01 04:01:51,54,30,12,960
2020-09-01 04:02:51,23,10,13,460
2020-09-01 04:03:51,345,280,55,6800
2020-09-01 04:04:51,67,44,12,1230
2020-09-01 04:05:51,45,33,12,900
2020-09-01 04:06:51,78,60,18,1560
2020-09-01 04:07:51,56,33,4,930
2020-09-01 04:08:50,456,326,128,9100
2020-09-01 04:09:50,78,33,32,1430
2020-09-01 04:10:50,345,222,111,6780
2020-09-01 04:11:50,344,300,44,6880
2020-09-01 04:12:50,365,281,64,7100
2020-09-01 04:13:50,456,380,70,9060
2020-09-01 04:14:50,78,44,30,1520
2020-09-01 04:15:50,56,12,40,1080
2020-09-01 04:16:50,489,234,222,9450
2020-09-01 04:17:50,456,269,132,8570
2020-09-01 04:18:50,78,45,33,1560
2020-09-01 04:19:50,453,440,12,9050
2020-09-01 04:20:50,123,98,12,2330
2020-09-01 04:21:50,87,60,27,1740
2020-09-01 04:22:50,453,343,62,8580
2020-09-01 04:23:50,88,12,2,1020
2020-09-01 04:24:50,322,224,34,5800
2020-09-01 04:25:50,87,44,12,1430
2020-09-01 04:26:50,345,340,12,6970
2020-09-01 04:27:50,435,320,115,8700
2020-09-01 04:28:50,153,100,50,3030
2020-09-01 04:29:50,321,320,1,6420
2020-09-01 04:30:50,343,343,0,6860
2020-09-01 04:31:50,88,80,8,1760
2020-09-01 04:32:50,634,555,32,12210
2020-09-01 04:33:50,45,40,5,900
2020-09-01 04:34:49,454,444,1,8990
2020-09-01 04:35:49,42,41,1,840
2020-09-01 04:36:49,88,80,8,1760
2020-09-01 04:37:49,78,65,13,1560
2020-09-01 04:38:49,578,478,100,11560
2020-09-01 04:39:49,123,100,23,2460
2020-09-01 04:40:49,88,78,10,1760
2020-09-01 04:41:49,456,400,56,9120
2020-09-01 04:42:49,78,70,8,1560
2020-09-01 04:43:49,56,55,1,1120
2020-09-01 04:44:49,99,90,9,1980
2020-09-01 04:45:49,456,444,12,9120
2020-09-01 04:46:49,6,0,6,120
2020-09-01 04:47:49,233,200,33,4660
2020-09-01 04:48:49,665,555,110,13300
2020-09-01 04:49:49,234,134,100,4680
2020-09-01 04:50:49,23,20,3,460
2020-09-01 04:51:49,232,180,52,4640
2020-09-01 04:52:49,87,50,37,1740
2020-09-01 04:53:49,656,640,15,13110
2020-09-01 04:54:49,345,300,45,6900
2020-09-01 04:55:49,665,643,5,13130
2020-09-01 04:56:49,675,665,10,13500
2020-09-01 04:57:49,65,64,1,1300
2020-09-01 04:58:49,676,673,3,13520
2020-09-01 04:59:49,127,120,7,2540
2020-09-01 05:00:48,234,123,99,4560
2020-09-01 05:01:48,54,30,12,960
2020-09-01 05:02:48,23,10,13,460
2020-09-01 05:03:48,345,280,55,6800
2020-09-01 05:04:48,67,44,12,1230
2020-09-01 05:05:48,45,33,12,900
2020-09-01 05:06:48,78,60,18,1560
2020-09-01 05:07:48,56,33,4,930
2020-09-01 05:08:48,456,326,128,9100
2020-09-01 05:09:48,78,33,32,1430
2020-09-01 05:10:48,345,222,111,6780
2020-09-01 05:11:48,344,300,44,6880
2020-09-01 05:12:48,365,281,64,7100
2020-09-01 05:13:48,456,380,70,9060
2020-09-01 05:14:48,78,44,30,1520
2020-09-01 05:15:48,56,12,40,1080
2020-09-01 05:16:48,489,234,222,9450
2020-09-01 05:17:48,456,269,132,8570
2020-09-01 05:18:48,78,45,33,1560
2020-09-01 05:19:48,453,440,12,9050
2020-09-01 05:20:48,123,98,12,2330
2020-09-01 05:21:48,87,60,27,1740
2020-09-01 05:22:48,453,343,62,8580
2020-09-01 05:23:48,88,12,2,1020
2020-09-01 05:24:48,322,224,34,5800
2020-09-01 05:25:48,87,44,12,1430
2020-09-01 05:26:47,345,340,12,6970
2020-09-01 05:27:47,435,320,115,8700
2020-09-01 05:28:47,153,100,50,3030
2020-09-01 05:29:47,321,320,1,6420
2020-09-01 05:30:47,343,343,0,6860
2020-09-01 05:31:47,88,80,8,1760
2020-09-01 05:32:47,634,555,32,12210
2020-09-01 05:33:47,45,40,5,900
2020-09-01 05:34:47,454,444,1,8990
2020-09-01 05:35:47,42,41,1,840
2020-09-01 05:36:47,88,80,8,1760
2020-09-01 05:37:47,78,65,13,1560
2020-09-01 05:38:47,578,478,100,11560
2020-09-01 05:39:47,123,100,23,2460
2020-09-01 05:40:47,88,78,10,1760
2020-09-01 05:41:47,456,400,56,9120
2020-09-01 05:42:47,78,70,8,1560
2020-09-01 05:43:47,56,55,1,1120
2020-09-01 05:44:47,99,90,9,1980
2020-09-01 05:45:47,456,444,12,9120
2020-09-01 05:46:47,6,0,6,120
2020-09-01 05:47:47,233,200,33,4660
2020-09-01 05:48:47,665,555,110,13300
2020-09-01 05:49:47,234,134,100,4680
2020-09-01 05:50:47,23,20,3,460
2020-09-01 05:51:47,232,180,52,4640
2020-09-01 05:52:46,87,50,37,1740
2020-09-01 05:53:46,656,640,15,13110
2020-09-01 05:54:46,345,300,45,6900
2020-09-01 05:55:46,665,643,5,13130
2020-09-01 05:56:46,675,665,10,13500
2020-09-01 05:57:46,65,64,1,1300
2020-09-01 05:58:46,676,673,3,13520
2020-09-01 05:59:46,127,120,7,2540
2020-09-01 06:00:46,234,123,99,4560
2020-09-01 06:01:46,54,30,12,960
2020-09-01 06:02:46,23,10,13,460
2020-09-01 06:03:46,345,280,55,6800
2020-09-01 06:04:46,67,44,12,1230
2020-09-01 06:05:46,45,33,12,900
2020-09-01 06:06:46,78,60,18,1560
2020-09-01 06:07:46,56,33,4,930
2020-09-01 06:08:46,456,326,128,9100
2020-09-01 06:09:46,78,33,32,1430
2020-09-01 06:10:46,345,222,111,6780
2020-09-01 06:11:46,344,300,44,6880
2020-09-01 06:12:46,365,281,64,7100
2020-09-01 06:13:46,456,380,70,9060
2020-09-01 06:14:46,78,44,30,1520
2020-09-01 06:15:46,56,12,40,1080
2020-09-01 06:16:46,489,234,222,9450
2020-09-01 06:17:46,456,269,132,8570
2020-09-01 06:18:45,78,45,33,1560
2020-09-01 06:19:45,453,440,12,9050
2020-09-01 06:20:45,123,98,12,2330
2020-09-01 06:21:45,87,60,27,1740
2020-09-01 06:22:45,453,343,62,8580
2020-09-01 06:23:45,88,12,2,1020
2020-09-01 06:24:45,322,224,34,5800
2020-09-01 06:25:45,87,44,12,1430
2020-09-01 06:26:45,345,340,12,6970
2020-09-01 06:27:45,435,320,115,8700
2020-09-01 06:28:45,153,100,50,3030
2020-09-01 06:29:45,321,320,1,6420
2020-09-01 06:30:45,343,343,0,6860
2020-09-01 06:31:45,88,80,8,1760
2020-09-01 06:32:45,634,555,32,12210
2020-09-01 06:33:45,45,40,5,900
2020-09-01 06:34:45,454,444,1,8990
2020-09-01 06:35:45,42,41,1,840
2020-09-01 06:36:45,88,80,8,1760
2020-09-01 06:37:45,78,65,13,1560
2020-09-01 06:38:45,578,478,100,11560
2020-09-01 06:39:45,123,100,23,2460
2020-09-01 06:40:45,88,78,10,1760
2020-09-01 06:41:45,456,400,56,9120
2020-09-01 06:42:45,78,70,8,1560
2020-09-01 06:43:45,56,55,1,1120
2020-09-01 06:44:44,99,90,9,1980
2020-09-01 06:45:44,456,444,12,9120
2020-09-01 06:46:44,6,0,6,120
2020-09-01 06:47:44,233,200,33,4660
2020-09-01 06:48:44,665,555,110,13300
2020-09-01 06:49:44,234,134,100,4680
2020-09-01 06:50:44,23,20,3,460
2020-09-01 06:51:44,232,180,52,4640
2020-09-01 06:52:44,87,50,37,1740
2020-09-01 06:53:44,656,640,15,13110
2020-09-01 06:54:44,345,300,45,6900
2020-09-01 06:55:44,665,643,5,13130
2020-09-01 06:56:44,675,665,10,13500
2020-09-01 06:57:44,65,64,1,1300
2020-09-01 06:58:44,676,673,3,13520
2020-09-01 06:59:44,127,120,7,2540
2020-09-01 07:00:44,234,123,99,4560
2020-09-01 07:01:44,54,30,12,960
2020-09-01 07:02:44,23,10,13,460
2020-09-01 07:03:44,345,280,55,6800
2020-09-01 07:04:44,67,44,12,1230
2020-09-01 07:05:44,45,33,12,900
2020-09-01 07:06:44,78,60,18,1560
2020-09-01 07:07:44,56,33,4,930
2020-09-01 07:08:44,456,326,128,9100
2020-09-01 07:09:44,78,33,32,1430
2020-09-01 07:10:43,345,222,111,6780
2020-09-01 07:11:43,344,300,44,6880
2020-09-01 07:12:43,365,281,64,7100
2020-09-01 07:13:43,456,380,70,9060
2020-09-01 07:14:43,78,44,30,1520
2020-09-01 07:15:43,56,12,40,1080
2020-09-01 07:16:43,489,234,222,9450
2020-09-01 07:17:43,456,269,132,8570
2020-09-01 07:18:43,78,45,33,1560
2020-09-01 07:19:43,453,440,12,9050
2020-09-01 07:20:43,123,98,12,2330
2020-09-01 07:21:43,87,60,27,1740
2020-09-01 07:22:43,453,343,62,8580
2020-09-01 07:23:43,88,12,2,1020
2020-09-01 07:24:43,322,224,34,5800
2020-09-01 07:25:43,87,44,12,1430
2020-09-01 07:26:43,345,340,12,6970
2020-09-01 07:27:43,435,320,115,8700
2020-09-01 07:28:43,153,100,50,3030
2020-09-01 07:29:43,321,320,1,6420
2020-09-01 07:30:43,343,343,0,6860
2020-09-01 07:31:43,88,80,8,1760
2020-09-01 07:32:43,634,555,32,12210
2020-09-01 07:33:43,45,40,5,900
2020-09-01 07:34:43,454,444,1,8990
2020-09-01 07:35:43,42,41,1,840
2020-09-01 07:36:42,88,80,8,1760
2020-09-01 07:37:42,78,65,13,1560
2020-09-01 07:38:42,578,478,100,11560
2020-09-01 07:39:42,123,100,23,2460
2020-09-01 07:40:42,88,78,10,1760
2020-09-01 07:41:42,456,400,56,9120
2020-09-01 07:42:42,78,70,8,1560
2020-09-01 07:43:42,56,55,1,1120
2020-09-01 07:44:42,99,90,9,1980
2020-09-01 07:45:42,456,444,12,9120
2020-09-01 07:46:42,6,0,6,120
2020-09-01 07:47:42,233,200,33,4660
2020-09-01 07:48:42,665,555,110,13300
2020-09-01 07:49:42,234,134,100,4680
2020-09-01 07:50:42,23,20,3,460
2020-09-01 07:51:42,232,180,52,4640
2020-09-01 07:52:42,87,50,37,1740
2020-09-01 07:53:42,656,640,15,13110
2020-09-01 07:54:42,345,300,45,6900
2020-09-01 07:55:42,665,643,5,13130
2020-09-01 07:56:42,675,665,10,13500
2020-09-01 07:57:42,65,64,1,1300
2020-09-01 07:58:42,676,673,3,13520
2020-09-01 07:59:42,127,120,7,2540
2020-09-01 08:00:42,234,123,99,4560
2020-09-01 08:01:42,54,30,12,960
2020-09-01 08:02:41,23,10,13,460
2020-09-01 08:03:41,345,280,55,6800
2020-09-01 08:04:41,67,44,12,1230
2020-09-01 08:05:41,45,33,12,900
2020-09-01 08:06:41,78,60,18,1560
2020-09-01 08:07:41,56,33,4,930
2020-09-01 08:08:41,456,326,128,9100
2020-09-01 08:09:41,78,33,32,1430
2020-09-01 08:10:41,345,222,111,6780
2020-09-01 08:11:41,344,300,44,6880
2020-09-01 08:12:41,365,281,64,7100
2020-09-01 08:13:41,456,380,70,9060
2020-09-01 08:14:41,78,44,30,1520
2020-09-01 08:15:41,56,12,40,1080
2020-09-01 08:16:41,489,234,222,9450
2020-09-01 08:17:41,456,269,132,8570
2020-09-01 08:18:41,78,45,33,1560
2020-09-01 08:19:41,453,440,12,9050
2020-09-01 08:20:41,123,98,12,2330
2020-09-01 08:21:41,87,60,27,1740
2020-09-01 08:22:41,453,343,62,8580
2020-09-01 08:23:41,88,12,2,1020
2020-09-01 08:24:41,322,224,34,5800
2020-09-01 08:25:41,87,44,12,1430
2020-09-01 08:26:41,345,340,12,6970
2020-09-01 08:27:41,435,320,115,8700
2020-09-01 08:28:40,153,100,50,3030
2020-09-01 08:29:40,321,320,1,6420
2020-09-01 08:30:40,343,343,0,6860
2020-09-01 08:31:40,88,80,8,1760
2020-09-01 08:32:40,634,555,32,12210
2020-09-01 08:33:40,45,40,5,900
2020-09-01 08:34:40,454,444,1,8990
2020-09-01 08:35:40,42,41,1,840
2020-09-01 08:36:40,88,80,8,1760
2020-09-01 08:37:40,78,65,13,1560
2020-09-01 08:38:40,578,478,100,11560
2020-09-01 08:39:40,123,100,23,2460
2020-09-01 08:40:40,88,78,10,1760
2020-09-01 08:41:40,456,400,56,9120
2020-09-01 08:42:40,78,70,8,1560
2020-09-01 08:43:40,56,55,1,1120
2020-09-01 08:44:40,99,90,9,1980
2020-09-01 08:45:40,456,444,12,9120
2020-09-01 08:46:40,6,0,6,120
2020-09-01 08:47:40,233,200,33,4660
2020-09-01 08:48:40,665,555,110,13300
2020-09-01 08:49:40,234,134,100,4680
2020-09-01 08:50:40,23,20,3,460
2020-09-01 08:51:40,232,180,52,4640
2020-09-01 08:52:40,87,50,37,1740
2020-09-01 08:53:40,656,640,15,13110
2020-09-01 08:54:39,345,300,45,6900
2020-09-01 08:55:39,665,643,5,13130
2020-09-01 08:56:39,675,665,10,13500
2020-09-01 08:57:39,65,64,1,1300
2020-09-01 08:58:39,676,673,3,13520
2020-09-01 08:59:39,127,120,7,2540
2020-09-01 09:00:39,234,123,99,4560
2020-09-01 09:01:39,54,30,12,960
2020-09-01 09:02:39,23,10,13,460
2020-09-01 09:03:39,345,280,55,6800
2020-09-01 09:04:39,67,44,12,1230
2020-09-01 09:05:39,45,33,12,900
2020-09-01 09:06:39,78,60,18,1560
2020-09-01 09:07:39,56,33,4,930
2020-09-01 09:08:39,456,326,128,9100
2020-09-01 09:09:39,78,33,32,1430
2020-09-01 09:10:39,345,222,111,6780
2020-09-01 09:11:39,344,300,44,6880
2020-09-01 09:12:39,365,281,64,7100
2020-09-01 09:13:39,456,380,70,9060
2020-09-01 09:14:39,78,44,30,1520
2020-09-01 09:15:39,56,12,40,1080
2020-09-01 09:16:39,489,234,222,9450
2020-09-01 09:17:39,456,269,132,8570
2020-09-01 09:18:39,78,45,33,1560
2020-09-01 09:19:39,453,440,12,9050
2020-09-01 09:20:38,123,98,12,2330
2020-09-01 09:21:38,87,60,27,1740
2020-09-01 09:22:38,453,343,62,8580
2020-09-01 09:23:38,88,12,2,1020
2020-09-01 09:24:38,322,224,34,5800
2020-09-01 09:25:38,87,44,12,1430
2020-09-01 09:26:38,345,340,12,6970
2020-09-01 09:27:38,435,320,115,8700
2020-09-01 09:28:38,153,100,50,3030
2020-09-01 09:29:38,321,320,1,6420
2020-09-01 09:30:38,343,343,0,6860
2020-09-01 09:31:38,88,80,8,1760
2020-09-01 09:32:38,634,555,32,12210
2020-09-01 09:33:38,45,40,5,900
2020-09-01 09:34:38,454,444,1,8990
2020-09-01 09:35:38,42,41,1,840
2020-09-01 09:36:38,88,80,8,1760
2020-09-01 09:37:38,78,65,13,1560
2020-09-01 09:38:38,578,478,100,11560
2020-09-01 09:39:38,123,100,23,2460
2020-09-01 09:40:38,88,78,10,1760
2020-09-01 09:41:38,456,400,56,9120
2020-09-01 09:42:38,78,70,8,1560
2020-09-01 09:43:38,56,55,1,1120
2020-09-01 09:44:38,99,90,9,1980
2020-09-01 09:45:38,456,444,12,9120
2020-09-01 09:46:37,6,0,6,120
2020-09-01 09:47:37,233,200,33,4660
2020-09-01 09:48:37,665,555,110,13300
2020-09-01 09:49:37,234,134,100,4680
2020-09-01 09:50:37,23,20,3,460
2020-09-01 09:51:37,232,180,52,4640
2020-09-01 09:52:37,87,50,37,1740
2020-09-01 09:53:37,656,640,15,13110
2020-09-01 09:54:37,345,300,45,6900
2020-09-01 09:55:37,665,643,5,13130
2020-09-01 09:56:37,675,665,10,13500
2020-09-01 09:57:37,65,64,1,1300
2020-09-01 09:58:37,676,673,3,13520
2020-09-01 09:59:37,127,120,7,2540
2020-09-01 10:00:37,234,123,99,4560
2020-09-01 10:01:37,54,30,12,960
2020-09-01 10:02:37,23,10,13,460
2020-09-01 10:03:37,345,280,55,6800
2020-09-01 10:04:37,67,44,12,1230
2020-09-01 10:05:37,45,33,12,900
2020-09-01 10:06:37,78,60,18,1560
2020-09-01 10:07:37,56,33,4,930
2020-09-01 10:08:37,456,326,128,9100
2020-09-01 10:09:37,78,33,32,1430
2020-09-01 10:10:37,345,222,111,6780
2020-09-01 10:11:37,344,300,44,6880
2020-09-01 10:12:36,365,281,64,7100
2020-09-01 10:13:36,456,380,70,9060
2020-09-01 10:14:36,78,44,30,1520
2020-09-01 10:15:36,56,12,40,1080
2020-09-01 10:16:36,489,234,222,9450
2020-09-01 10:17:36,456,269,132,8570
2020-09-01 10:18:36,78,45,33,1560
2020-09-01 10:19:36,453,440,12,9050
2020-09-01 10:20:36,123,98,12,2330
2020-09-01 10:21:36,87,60,27,1740
2020-09-01 10:22:36,453,343,62,8580
2020-09-01 10:23:36,88,12,2,1020
2020-09-01 10:24:36,322,224,34,5800
2020-09-01 10:25:36,87,44,12,1430
2020-09-01 10:26:36,345,340,12,6970
2020-09-01 10:27:36,435,320,115,8700
2020-09-01 10:28:36,153,100,50,3030
2020-09-01 10:29:36,321,320,1,6420
2020-09-01 10:30:36,343,343,0,6860
2020-09-01 10:31:36,88,80,8,1760
2020-09-01 10:32:36,634,555,32,12210
2020-09-01 10:33:36,45,40,5,900
2020-09-01 10:34:36,454,444,1,8990
2020-09-01 10:35:36,42,41,1,840
2020-09-01 10:36:36,88,80,8,1760
2020-09-01 10:37:36,78,65,13,1560
